;"FromIP";"ToIP";"RTT";"Distance";"CountryFrom";"CountryFromNo";"CountryTo";"CountryToNo";"ConnectionNo"
"224";"128.223.8.111";"198.248.245.102";0.1887051582336;2373.7175;"UnitedStates";13;"UnitedStates";13;1313
"225";"128.223.8.111";"194.29.150.131";0.208460855484;8778.0024;"UnitedStates";13;"Poland";10;1310
"226";"128.223.8.111";"198.248.246.19";0.18234284400932;2373.7175;"UnitedStates";13;"UnitedStates";13;1313
"227";"128.223.8.111";"198.248.244.101";0.1954246902466;2373.7175;"UnitedStates";13;"UnitedStates";13;1313
"228";"128.223.8.111";"131.246.112.38";0.19617249488844;8585.9309;"UnitedStates";13;"Germany";6;1306
"229";"128.223.8.111";"192.138.213.238";0.09151903152466;4152.2061;"UnitedStates";13;"UnitedStates";13;1313
"230";"128.223.8.111";"129.107.35.131";0.068445806503288;2558.009;"UnitedStates";13;"UnitedStates";13;1313
"231";"128.223.8.111";"141.24.33.162";0.19737266540524;8593.3773;"UnitedStates";13;"Germany";6;1306
"232";"128.223.8.111";"128.112.139.18";0.0907152349298727;3953.783;"UnitedStates";13;"UnitedStates";13;1313
"233";"128.223.8.111";"203.178.133.10";0.15085567474364;7953.6942;"UnitedStates";13;"Japan";7;1307
"234";"128.223.8.111";"143.107.111.235";0.23336927413936;10805.1577;"UnitedStates";13;"Brazil";2;1302
"235";"128.223.8.111";"200.0.206.202";0.30262907981872;11080.472;"UnitedStates";13;"Uruguay";14;1314
"236";"128.223.8.111";"198.133.224.149";0.065717916488648;2697.3733;"UnitedStates";13;"UnitedStates";13;1313
"237";"128.223.8.111";"145.99.179.146";0.205513805151083;8203.546;"UnitedStates";13;"Netherlands";9;1309
"238";"128.223.8.111";"192.43.193.71";0.2022801208496;8753.8529;"UnitedStates";13;"Switzerland";11;1311
"239";"128.223.8.111";"202.249.37.67";0.14291834831244;7953.6942;"UnitedStates";13;"Japan";7;1307
"240";"128.223.8.111";"206.117.37.6";0.02792346954346;1185.6201;"UnitedStates";13;"UnitedStates";13;1313
"241";"128.223.8.111";"202.244.160.251";0.154961849513789;8343.7307;"UnitedStates";13;"Japan";7;1307
"242";"128.223.8.111";"130.49.221.41";0.10149187088012;3528.6047;"UnitedStates";13;"UnitedStates";13;1313
"243";"128.223.8.111";"132.239.17.224";0.03061266899108;1340.5284;"UnitedStates";13;"UnitedStates";13;1313
"244";"128.223.8.111";"206.12.16.155";0.034563264846808;580.4063;"UnitedStates";13;"Canada";3;1303
"245";"128.223.8.111";"128.8.126.78";0.09863052368164;3838.1529;"UnitedStates";13;"UnitedStates";13;1313
"246";"128.223.8.111";"148.81.140.194";0.20852488517772;8778.0024;"UnitedStates";13;"Poland";10;1310
"247";"128.223.8.111";"132.227.62.20";0.21009530067452;8409.1935;"UnitedStates";13;"France";5;1305
"248";"128.223.8.111";"122.1.115.91";0.13821111679076;7953.6942;"UnitedStates";13;"Japan";7;1307
"249";"128.223.8.111";"129.187.143.120";0.1993290519714;8852.3871;"UnitedStates";13;"Germany";6;1306
"250";"128.223.8.111";"128.4.36.46";0.0904794025421;3914.8709;"UnitedStates";13;"UnitedStates";13;1313
"251";"128.223.8.111";"130.104.72.201";0.20809763908228;8330.5215;"UnitedStates";13;"Belgium";1;1301
"252";"128.223.8.111";"72.36.112.79";0.06363925933838;2890.0931;"UnitedStates";13;"UnitedStates";13;1313
"253";"128.223.8.111";"129.105.15.38";0.06208985328674;2863.6768;"UnitedStates";13;"UnitedStates";13;1313
"254";"128.223.8.111";"128.208.1.234";0.0094581699371344;407.3022;"UnitedStates";13;"UnitedStates";13;1313
"255";"128.223.8.111";"208.117.131.116";0.095245466232316;2900.5343;"UnitedStates";13;"UnitedStates";13;1313
"256";"128.223.8.111";"129.187.143.60";0.19922252655028;8852.3871;"UnitedStates";13;"Germany";6;1306
